key,en,fr
title_pathway,Pathway indicators,Indicateurs de parcours
title_mob_measures,Net mobility indicators,Indicateurs de mobilité nette
title_mob_matrix,Interprovincial mobility origin and destination,Mobilité interprovinciale origine et destination
title_inc_cs,"Median employment income, cross sectional analysis","Revenu d'emploi médian, analyse transversale"
title_inc_long,"Median employment income, longitudinal analysis","Revenu d'emploi médian, analyse longitudinale"
title_mobs,Net mobility indicators,Indicateurs de mobilité nette
title_mobs,Interprovincial mobility origin and destination,Mobilité interprovinciale origine et destination
title_incs,"Median employment income, cross sectional analysis","Revenu d'emploi médian, analyse transversale"
title_incs,"Median employment income, longitudinal analysis","Revenu d'emploi médian, analyse longitudinale"
title_inc_tab,Income indicators,Indicateurs de revenus
title_mob_tab,Mobility indicators,Indicateurs de mobilité
